artist,album,title,track_number,release_year,label,duration_seconds,genre,source_url,raw_payload_json,source_record_id
North Harbor,Signal Fires,Blue Room,1,2021,Fictional Fixture Records,214,Indie,https://example.invalid/fixture/lf-001,"{""recording_gid"":""rec-blue-room"",""release_gid"":""rel-signal-fires-a"",""fixture_cohort"":""clean""}",lf-001
north harbor,Signal-Fires,Blue-Room,1,2021,Fictional Fixture Records,214,Indie,https://example.invalid/fixture/lf-002,"{""recording_gid"":""rec-blue-room"",""release_gid"":""rel-signal-fires-b"",""fixture_cohort"":""casing_and_punctuation""}",lf-002
NORTH HARBOR,Signal Fires Deluxe Edition,Blue Room - Remastered,1,2023,Fictional Fixture Records,216,Indie,https://example.invalid/fixture/lf-003,"{""recording_gid"":""rec-blue-room"",""release_gid"":""rel-signal-fires-deluxe"",""fixture_cohort"":""edition_or_reissue""}",lf-003
North Harbor,Evening Atlas,Window Map,2,2021,Fictional Fixture Records,188,Indie,https://example.invalid/fixture/lf-004,"{""recording_gid"":""rec-window-map"",""release_gid"":""rel-evening-atlas"",""fixture_cohort"":""clean""}",lf-004
North Harbor,Evening Atlas,Window Map,2,2021,Fictional Fixture Records,188,Indie,https://example.invalid/fixture/lf-004-dup,"{""recording_gid"":""rec-window-map"",""release_gid"":""rel-evening-atlas"",""fixture_cohort"":""possible_true_duplicate""}",lf-004
North Harbor,Afterlight Collection,Window Map,7,2024,Fictional Fixture Records,188,Indie,https://example.invalid/fixture/lf-005,"{""recording_gid"":""rec-window-map"",""release_gid"":""rel-afterlight-collection"",""fixture_cohort"":""compilation""}",lf-005
Glass District,Transit Lines,Platform Three,1,2020,Metro Fictional,201,Electronic,https://example.invalid/fixture/lf-006,"{""recording_gid"":""rec-platform-three"",""release_gid"":""rel-transit-lines"",""fixture_cohort"":""clean""}",lf-006
glass district,Transit-Lines,Platform Three,1,2020,Metro Fictional,201,Electronic,https://example.invalid/fixture/lf-007,"{""recording_gid"":""rec-platform-three"",""release_gid"":""rel-transit-lines-punct"",""fixture_cohort"":""casing_and_punctuation""}",lf-007
Glass District,Transit Lines,Platform Three (Radio Edit),1,2020,Metro Fictional,185,Electronic,https://example.invalid/fixture/lf-008,"{""recording_gid"":""rec-platform-three-radio"",""release_gid"":""rel-transit-lines-radio"",""fixture_cohort"":""radio_edit""}",lf-008
Glass District,Transit Lines,Platform Three (Clean),1,2020,Metro Fictional,201,Electronic,https://example.invalid/fixture/lf-009,"{""recording_gid"":""rec-platform-three-clean"",""release_gid"":""rel-transit-lines-clean"",""fixture_cohort"":""clean_edit""}",lf-009
